family,species,stateProvince,decimalLatitude,decimalLongitude
Acanthaceae,Avicennia germinans,Ceará,-3.783272,-38.443818
Acanthaceae,Avicennia germinans,Pará,-1.232248,-46.274849
Acanthaceae,Avicennia germinans,Pará,-0.923953,-46.794895
Acanthaceae,Avicennia germinans,Ceará,-3.752425,-38.482614
Acanthaceae,Avicennia germinans,Pará,-0.829025,-46.604646
Acanthaceae,Avicennia germinans,Ceará,-3.752383,-38.482605
Acanthaceae,Avicennia germinans,NA,-7.859145,-34.839493
Acanthaceae,Avicennia germinans,Amapá,2.599146,-50.84623
Acanthaceae,Avicennia germinans,Espírito Santo,-20.35948,-40.292578
Acanthaceae,Avicennia germinans,NA,-5.10134,-36.24939
Acanthaceae,Avicennia germinans,Ceará,-3.749818,-38.485526
Acanthaceae,Avicennia germinans,Rio de Janeiro,-22.999107,-43.654385
Acanthaceae,Avicennia germinans,Pará,-0.854807,-46.605522
Acanthaceae,Avicennia germinans,Ceará,-3.752495,-38.484455
Acanthaceae,Avicennia germinans,Ceará,-3.749647,-38.484968
Acanthaceae,Avicennia germinans,Maranhão,-2.411405,-44.088271
Acanthaceae,Avicennia germinans,Ceará,-3.828025,-38.4016
Acanthaceae,Avicennia germinans,Ceará,-3.750342,-38.483839
Acanthaceae,Avicennia germinans,Maranhão,-2.49602,-44.295955
Acanthaceae,Avicennia germinans,Amapá,2.602161,-50.847513
Acanthaceae,Avicennia germinans,Amapá,2.601537,-50.850047000000004
Acanthaceae,Avicennia germinans,Ceará,-3.83167,-38.420863
Acanthaceae,Avicennia germinans,Ceará,-3.710307,-38.643096
Acanthaceae,Avicennia germinans,São Paulo,-23.986562,-46.403208
Acanthaceae,Avicennia germinans,Ceará,-4.443428,-37.78775
Acanthaceae,Avicennia germinans,Espírito Santo,-18.652931,-39.760866
Acanthaceae,Avicennia germinans,Ceará,-3.748662,-38.485697
Acanthaceae,Avicennia germinans,Alagoas,-8.910139,-35.152148
Acanthaceae,Avicennia germinans,Rio de Janeiro,-22.985411,-43.188559
Acanthaceae,Avicennia germinans,Rio de Janeiro,-22.985808,-43.188161
Acanthaceae,Avicennia germinans,NA,-2.496,-44.296156
Acanthaceae,Avicennia germinans,NA,-2.495972,-44.296154
Acanthaceae,Avicennia germinans,NA,-1.162691,-46.003826
Acanthaceae,Avicennia germinans,Ceará,-3.745234,-38.485998
Acanthaceae,Avicennia germinans,Ceará,-3.748662,-38.485697
Acanthaceae,Avicennia germinans,Ceará,-3.748662,-38.485697
Acanthaceae,Avicennia germinans,Ceará,-3.748662,-38.485697
Acanthaceae,Avicennia germinans,Ceará,-3.748662,-38.485697
Acanthaceae,Avicennia germinans,Pará,-0.925677,-46.703307
Acanthaceae,Avicennia germinans,Ceará,-3.771392,-38.438675
Acanthaceae,Avicennia germinans,Ceará,-3.748662,-38.485697
Acanthaceae,Avicennia germinans,Ceará,-3.748662,-38.485697
Acanthaceae,Avicennia germinans,NA,-2.84983,-40.0315
Acanthaceae,Avicennia germinans,NA,-2.84998,-40.03141
